NAME,NAME.id,LOCATION.x,LOCATION.y,POSITION,SHAPE.length,SHAPE.orientation,SHAPE.width
b8759,93cb4f8c-da30-4287-b460-fdf40e1cf130,182.05936,51.989887,7,14.313712,91.83374,5.6594977
b8846,47adca48-71ac-473b-8195-14eda2bc9c44,181.79619,52.74484,8,14.861512,93.813995,5.731382
b8768,4bf8f588-3fdb-4c1f-843f-a7a35150cce5,195.94342,58.83546,7,11.084317,139.79805,4.6698856
b8856,c5faf781-a14d-46dd-9294-9eeb0f31ed45,195.77419,59.228737,8,10.595941,137.05411,4.8882794
b8772,56f8bbb2-e6f6-4f6b-98ea-e32eae8a0595,208.91254,62.274902,7,26.646927,149.98776,4.9405794
b8861,cb06c3a7-e1f6-4796-a604-e31d7381d458,208.82594,62.6564,8,27.430252,150.06476,5.157023
b8779,40d63c81-1b6a-4b48-bb7e-4e6d7fc033cc,222.36519,53.046925,7,19.868223,89.770035,5.5874176
b8864,8732b724-eb65-43f8-9017-37978325145f,222.34157,53.97961,8,20.577906,90.63314,5.810536
b8781,b9aae02a-8f08-4ff4-8c9c-f9040f2f2e97,223.24536,67.382805,7,18.607477,135.15988,5.5938964
b8866,9cea8a81-6b40-4e99-8b82-b435da540f84,223.48222,67.87704,8,18.755217,134.70526,5.574052
b8784,d7907d83-bb95-4fac-92b5-a8fd99e21790,243.3573,60.98721,7,15.486506,118.13427,6.4054217
b8873,8fd89221-75c0-4fbc-a089-018316bbbbe7,243.8977,61.800728,8,15.253316,118.30091,6.1338773
b8805,b3abc778-44f8-4f49-bb25-71a74ec27a75,110.81331,65.68101,7,20.055052,63.203167,6.277505
b8894,6ca50cf8-70e5-4739-925b-2b49b2f59f8c,110.150826,65.91846,8,20.532846,62.053093,6.357873
b8806,d4e430e8-6a9c-429b-9727-68e004b033e0,127.17925,55.987976,7,16.285849,59.023026,6.120665
b8895,2d483b0b-1ad4-4d90-ba3e-6ab8bcaf1ed3,127.381516,56.302372,8,16.794003,57.850334,5.6510925
b8807,75681013-5869-4e6d-9c72-8abea26f6281,236.84537,67.95864,7,21.865149,126.41602,5.467118
b8896,00d0f034-7a00-4a00-9169-a6c6ce3063a7,237.4106,68.66557,8,22.82704,123.733,5.560987
b8808,fd1f2512-1af7-4843-b1d1-fc3bf962ffd9,261.06772,72.04841,7,24.558794,93.12764,6.360706
b8897,ac0c6239-16c9-46bb-a21b-adf78e3e908b,262.11182,72.73345,8,24.991493,93.62207,6.3489075
b8918,3fbbc3b9-8670-4524-be0b-2875d8a3cbd1,163.13522,54.21892,9,13.3348,77.16814,4.247685
b8950,ff519b90-da3b-49e2-bd58-6ab7f2ee28df,210.6871,64.757324,9,27.61918,146.92899,5.2659016
b8984,083415ab-583d-436f-9dc9-145beb1f3366,110.22323,68.0092,9,20.875847,62.240524,6.0429587
b8985,eb9f8a96-4484-43ba-b800-6637f7a91ae0,128.14494,58.958363,9,17.00195,62.343224,6.3512344
b8762,63945f53-1ac1-4073-8f41-a57007c15b74,183.39972,66.20642,7,15.131587,35.756966,5.6048355
b8848,d63198be-4bc2-4e01-9ea8-bdb712b5ecd7,183.40993,67.064026,8,15.218155,38.24167,6.0604324
b8933,38179c1c-e161-4337-85aa-076d8b316c10,184.20679,68.227135,9,16.097572,36.209656,5.7585115
b9034,6fa262e8-57e5-4d1d-9264-49e8bd0fcf25,183.81693,66.33286,10,15.844351,40.72745,5.682507
b8767,3f42ce2e-7bed-42e7-81d6-fb1ce7b0d65b,196.95668,71.073235,7,17.226755,92.48495,6.0853767
b8853,77cac3b4-6582-48dd-aae2-3d19eee26944,197.45538,71.50209,8,17.929861,92.18249,6.1806064
b8940,5dd14d84-809b-4198-81d0-5676c9f36809,198.19731,73.15256,9,19.27768,93.93567,6.136467
b9039,f4e912db-76a6-4e66-a223-a9c5f4ec0e5f,197.67863,71.65422,10,19.93704,91.25168,5.8996034
b8793,ea1d82c4-f149-48eb-bbc9-be65c5a8de3a,292.4033,66.26362,7,19.712374,80.32289,6.800854
b8883,d11b9090-c58b-48c3-a461-5c5c7138a6ad,293.30405,67.049805,8,19.420248,69.45059,6.5556574
b8975,f167317f-94cb-463d-b6fa-7470d96bd81b,293.57236,68.76625,9,19.415838,68.58889,6.6247344
b9070,34eac589-226c-49f8-9272-3ccda2bdbed8,293.05103,67.066986,10,20.266962,64.306076,6.7876806
